Session;Period;Subject;myTreatment;myGroup;myGroup2;myGroupType;dec-01;dec-02
160616_1231;17;15;2;5;5;1;2;0
160616_1231;17;16;2;6;6;1;5;0
160616_1231;17;17;9;3;4;2;5;1
160616_1231;17;18;9;5;6;2;5;3
160616_1231;17;19;2;1;2;2;2;2
160616_1231;17;20;2;4;4;1;2;0
160616_1231;17;21;9;6;6;1;5;0
160616_1231;17;22;9;4;4;1;5;0
160616_1231;17;23;2;2;2;1;2;0
160616_1231;17;24;2;4;5;2;2;2
160616_1231;17;25;9;5;5;1;6;0
160616_1231;17;26;9;7;7;1;4;0
160616_1231;18;1;9;2;2;1;6;0
160616_1231;18;2;9;4;5;2;6;6
160616_1231;18;3;2;1;1;1;6;0
160616_1231;18;4;2;2;3;2;4;4
160616_1231;18;5;9;1;1;1;3;0
160616_1231;18;6;9;3;3;1;6;0
160616_1231;18;7;2;3;4;2;2;4
160616_1231;18;8;2;6;1;2;6;6
160616_1231;18;9;9;7;1;2;3;1
160616_1231;18;10;9;1;2;2;6;1
160616_1231;18;11;2;3;3;1;4;0
160616_1231;18;12;2;5;6;2;6;6
160616_1231;18;13;9;2;3;2;6;6
160616_1231;18;14;9;6;7;2;1;1
160616_1231;18;15;2;5;5;1;6;0
160616_1231;18;16;2;6;6;1;6;0
160616_1231;18;17;9;3;4;2;4;4
160616_1231;18;18;9;5;6;2;6;6
160616_1231;18;19;2;1;2;2;5;5
160616_1231;18;20;2;4;4;1;2;0
160616_1231;18;21;9;6;6;1;6;0
160616_1231;18;22;9;4;4;1;4;0
160616_1231;18;23;2;2;2;1;5;0
160616_1231;18;24;2;4;5;2;6;6
160616_1231;18;25;9;5;5;1;6;0
160616_1231;18;26;9;7;7;1;1;0
160616_1231;19;1;9;2;2;1;4;0
160616_1231;19;2;9;4;5;2;6;6
160616_1231;19;3;2;1;1;1;5;0
160616_1231;19;4;2;2;3;2;4;4
160616_1231;19;5;9;1;1;1;6;0
160616_1231;19;6;9;3;3;1;5;0
